,Date,Origin,Destination,Departure_Time,Arrival_Time,Duration,Class,Miles,Tax
0,05/01,HND,EWR,6:15 PM, 11:42 PM ,18h 27m,Main,35000,49.6
1,05/03,HND,EWR,6:15 PM, 11:42 PM ,18h 27m,Main,35000,49.6
2,05/04,HND,EWR,6:15 PM, 11:42 PM ,18h 27m,Main,35000,49.6
3,05/06,HND,EWR,6:15 PM, 11:47 PM ,18h 32m,Main,35000,49.6
4,05/07,HND,EWR,6:15 PM, 11:47 PM ,18h 32m,Main,35000,49.6
5,05/14,HND,EWR,6:15 PM, 11:47 PM ,18h 32m,Main,35000,49.6
6,05/21,HND,EWR,6:15 PM, 11:47 PM ,18h 32m,Main,35000,49.6
7,05/14,HND,EWR,11:55 AM, 6:31 PM ,19h 36m,Main,35000,49.6
8,05/14,HND,EWR,11:55 AM, 7:47 PM ,20h 52m,Main,35000,49.6
9,05/14,HND,EWR,11:55 AM, 7:47 PM ,20h 52m,Main,35000,49.6
10,05/14,HND,EWR,11:55 AM, 8:32 PM ,21h 37m,Main,35000,49.6
11,05/14,HND,EWR,11:55 AM, 10:05 PM ,23h 10m,Main,35000,49.6
12,05/14,HND,EWR,11:55 AM, 10:05 PM ,23h 10m,Main,35000,55.2
13,05/14,HND,EWR,11:55 AM, 10:09 PM ,23h 14m,Main,35000,49.6
14,05/15,HND,EWR,11:55 AM, 10:09 PM ,23h 14m,Main,35000,49.6
15,05/14,HND,EWR,11:55 AM, 10:29 PM ,23h 34m,Main,35000,49.6
16,05/14,HND,EWR,6:15 PM," 5:42 AM +1 , Arrives on May 15",24h 27m,Main,35000,49.6
17,05/14,HND,EWR,6:15 PM," 5:42 AM +1 , Arrives on May 15",24h 27m,Main,35000,49.6
18,05/14,HND,EWR,6:15 PM," 5:42 AM +1 , Arrives on May 15",24h 27m,Main,35000,49.6
19,05/14,HND,EWR,11:55 AM, 11:46 PM ,24h 51m,Main,35000,49.6
20,05/14,HND,EWR,11:55 AM, 11:46 PM ,24h 51m,Main,35000,49.6
